###MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
57229.24873,-19.043,0.738,-88,65,o,0,1.04,219.42633,2.2845,3683.99,4632.01,3.92,3.62,-78.3,-0.447,17.96,18.5,02a57229o0020o
57229.25243,-19.683,0.982,-49,48,o,0,1.1,219.42633,2.2845,3686.47,4631.75,3.96,3.72,-75.3,-0.436,18.26,19.13,02a57229o0025o
57229.26469,-21.506,3.727,-9,34,o,0,2.27,219.42633,2.2845,2224.88,6083.02,3.82,3.57,-76.2,-0.45,18.55,19.64,02a57229o0042o
57229.28483,-19.909,0.917,-40,36,o,0,1.53,219.42633,2.2845,2219.47,6088.45,3.88,3.57,-73.8,-0.439,18.54,19.65,02a57229o0070o
57246.24919,19.804,0.556,44,24,c,0,1.8,219.42633,2.2845,3463.25,4850.31,4.64,4.32,-68.2,-0.346,18.9,20.61,02a57246o0014c
57246.25129,19.746,0.5,46,23,c,0,1.5,219.42633,2.2845,3463.38,4850.52,4.22,4.06,-75.2,-0.375,19.1,20.84,02a57246o0017c
57246.25847,-23.259,11,-2,20,c,0,1.92,219.42633,2.2845,2004.37,6300.44,4.34,4.11,-69.1,-0.384,19.21,21.1,02a57246o0027c
57246.27495,-21.598,2.4,-8,20,c,0,2.47,219.42633,2.2845,1996.52,6300.12,4.14,3.88,-65.1,-0.4,19.26,21.08,02a57246o0050c
57436.45908,-19.492,0.883,-58,51,c,0,1.43,219.42633,2.2845,7681.2,5705.85,4.16,3.88,69.6,-0.392,18.22,19.3,02a57436o0408c
57436.47275,-20.914,3.27,-16,51,c,0,1.22,219.42633,2.2845,7967.36,6289.16,4.12,3.75,74.3,-0.399,18.35,19.45,02a57436o0431c
57436.48634,-22.251,10.667,-5,49,c,0,1.73,219.42633,2.2845,6802.73,6871.15,3.91,3.6,81.4,-0.398,18.47,19.56,02a57436o0454c
57436.49997,-18.866,0.418,-103,43,c,0,1.81,219.42633,2.2845,6548.21,6677.62,3.87,3.58,82.4,-0.407,18.56,19.69,02a57436o0477c
57437.67364,-19.394,1.29,-64,82,o,0,1.36,219.42633,2.2845,2956.59,5249.49,3.7,3.34,-54.7,-0.472,17.58,17.65,02a57437o0861o
57445.63041,-20.939,4.317,-15,66,o,0,0.92,219.42633,2.2845,2971.54,5258.66,3.75,3.4,-50.4,-0.456,18.23,19.15,02a57445o0818o
57445.65394,-19.618,1.284,-52,66,o,0,1,219.42633,2.2845,2683.7,4677.62,3.83,3.41,-40.6,-0.464,18.25,19.12,02a57445o0859o
57452.63156,21.53,2,9,18,c,0,1.64,219.42633,2.2845,3099.05,5374.03,3.76,3.53,-46.8,-0.405,19.62,21.55,02a57452o0733c
57452.65399,20.385,0.808,26,21,c,0,1.68,219.42633,2.2845,2809.74,4794.57,3.88,3.58,-35.4,-0.413,19.33,21,02a57452o0776c
57460.60567,20.27,0.612,28,17,c,0,1.75,219.42633,2.2845,3233.88,5161.71,3.77,3.49,-42.1,-0.412,19.65,21.6,02a57460o0779c
57460.62821,20.732,0.943,18,18,c,0,1.63,219.42633,2.2845,2941.79,4582.26,3.88,3.58,-34.7,-0.409,19.62,21.57,02a57460o0822c
57460.65097,20.206,0.698,30,21,c,0,1.3,219.42633,2.2845,4104.29,4005.91,3.85,3.56,-23.9,-0.408,19.28,20.89,02a57460o0865c
57464.58389,18.533,0.217,140,30,o,0,3.19,219.42633,2.2845,3006.39,4859.54,3.84,3.4,-40.6,-0.475,19.26,20.97,02a57464o0747o
57464.60664,18.766,0.235,113,27,o,0,4.96,219.42633,2.2845,2714.14,4280.58,3.95,3.37,-34.6,-0.481,19.3,21.01,02a57464o0790o
57464.62955,-23.351,13.75,-2,23,o,0,1.99,219.42633,2.2845,3878.55,3703.71,3.97,3.41,-21.4,-0.47,19.28,21.02,02a57464o0833o
57464.65271,-19.085,0.384,-84,32,o,0,1.7,219.42633,2.2845,4090.6,3977.35,3.76,3.34,-23.8,-0.488,18.71,19.93,02a57464o0876o
57476.55596,19.714,0.675,47,32,o,0,1.53,219.42633,2.2845,3316.33,4904.4,3.79,3.49,-46.8,-0.448,18.76,20.04,02a57476o0678o
57480.56031,19.725,0.408,47,19,c,0,1.37,219.42633,2.2845,2945.38,5188.62,3.74,3.52,-47.8,-0.41,19.47,21.24,02a57480o0696c
57480.58373,20.442,0.8,24,19,c,0,3.39,219.42633,2.2845,2655.04,4610.66,3.81,3.52,-38,-0.418,19.42,21.14,02a57480o0741c
57480.60762,-20.482,0.765,-23,18,c,0,1.64,219.42633,2.2845,3817.7,4034.93,3.78,3.5,-24.4,-0.411,19.38,21.06,02a57480o0786c
57480.63129,-21.272,1.75,-11,20,c,0,1.39,219.42633,2.2845,4071.83,3980.9,3.8,3.5,-21.2,-0.415,19.26,20.85,02a57480o0831c
57490.47845,-20.017,0.468,-36,17,c,0,1.67,219.42633,2.2845,2989.57,5022.81,4.2,3.74,-8.1,-0.374,19.51,21.52,02a57490o0562c
57490.4983,-20.607,0.783,-21,16,c,0,1.7,219.42633,2.2845,2695.46,4445.09,3.82,3.64,-40,-0.399,19.57,21.47,02a57490o0595c
57490.51762,23.329,9.6,2,16,c,0,2.37,219.42633,2.2845,3854.54,3870.84,3.78,3.65,-37.4,-0.383,19.51,21.36,02a57490o0628c
57490.53738,-21.717,2.273,-8,17,c,0,2.01,219.42633,2.2845,4078.89,3971.26,3.76,3.65,-37.4,-0.384,19.49,21.34,02a57490o0662c
57491.47536,-20.946,1.385,-15,21,c,0,2.12,219.42633,2.2845,3399.65,5041.12,5.29,4.29,-8,-0.33,19.09,21.21,02a57491o0477c
57491.49508,-20.175,0.645,-31,20,c,0,1.92,219.42633,2.2845,3097.73,4467.26,4.65,4.32,-31.8,-0.355,19.23,21.26,02a57491o0510c
57491.51522,-17.934,0.507,-244,123,c,0,1.76,219.42633,2.2845,4262.13,3889.18,3.99,3.78,-27.5,-0.391,17.01,18.75,02a57491o0543c
57493.46256,-19.125,0.347,-81,28,o,0,2.08,219.42633,2.2845,3168.38,4940.79,4.13,3.58,-13.7,-0.417,18.83,20.22,02a57493o0491o
57493.47651,22.985,12.8,2,30,o,0,3.65,219.42633,2.2845,2875.99,4364.23,4.44,3.69,-10.5,-0.402,18.81,20.29,02a57493o0518o
57493.49733,20.624,1.259,20,26,o,0,1.75,219.42633,2.2845,4027.43,3793.02,3.69,3.48,-31.9,-0.441,19.04,20.45,02a57493o0553o
57493.51759,-20.629,1.273,-20,26,o,0,1.37,219.42633,2.2845,4077.4,3971.7,3.65,3.43,-31.2,-0.441,19.12,20.61,02a57493o0587o
57495.39416,19.118,0.407,82,33,o,0,2.6,219.42633,2.2845,7115.78,5706.62,3.86,3.38,85.9,-0.461,18.56,19.67,02a57495o0353o
57495.40932,20.153,1.07,32,34,o,0,5.43,219.42633,2.2845,7133.88,5746.6,3.71,3.19,87.1,-0.466,18.66,19.75,02a57495o0383o
57495.42375,-21.53,3.24,-9,29,o,0,2.12,219.42633,2.2845,7073.18,5669.49,3.66,3.11,86.2,-0.484,18.71,19.82,02a57495o0412o
57495.43863,-23.51,22.5,-1,32,o,0,1.4,219.42633,2.2845,7051.57,5784.01,3.65,3.13,86.8,-0.484,18.73,19.86,02a57495o0442o
57498.39757,-19.817,1.453,-43,62,o,0,2.78,219.42633,2.2845,7105.9,5702.01,3.66,3.04,87.7,-0.511,18,18.49,02a57498o0371o
57498.41338,-18.758,0.59,-114,67,o,0,1.56,219.42633,2.2845,7125.5,5744.35,3.74,3.16,87.7,-0.521,18.01,18.54,02a57498o0400o
